param_penalty,param_C,param_solver,mean_test_score,std_test_score,rank_test_score,is_best_model
l2,0.1,lbfgs,0.7576132605683481,0.001795824269845124,8,False
l2,0.1,liblinear,0.7538450312705308,0.0018172465695505124,9,False
,0.1,lbfgs,0.7682053150435217,0.0028323571027556687,2,False
,0.1,liblinear,,,10,False
l2,1.0,lbfgs,0.7658769317758986,0.002042116088203575,5,False
l2,1.0,liblinear,0.7627981524163361,0.001900369834010037,7,False
,1.0,lbfgs,0.7682053150435217,0.0028323571027556687,2,False
,1.0,liblinear,,,10,False
l2,10.0,lbfgs,0.7683009991805789,0.0026119242616923174,1,True
l2,10.0,liblinear,0.7648298990022753,0.002434133601890169,6,False
,10.0,lbfgs,0.7682053150435217,0.0028323571027556687,2,False
,10.0,liblinear,,,10,False
