param_n_estimators,param_learning_rate,param_max_depth,param_subsample,mean_test_score,std_test_score,rank_test_score,precision,recall,f1_score,accuracy,is_best_model
100,0.01,5,0.8,0.8300489935620277,0.0021047099766670053,15,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.01,5,1.0,0.8285782528732192,0.0019279803771173796,16,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.01,5,0.8,0.8517576138216475,0.002653713193031857,13,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.01,5,1.0,0.8504155229927323,0.002276855546250919,14,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.01,7,0.8,0.8631232943509204,0.002843527363867592,11,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.01,7,1.0,0.8614269511554324,0.0027315778869983955,12,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.01,7,0.8,0.877622694176825,0.0017452835873393916,9,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.01,7,1.0,0.8754465675533012,0.0017560917413013144,10,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.1,5,0.8,0.922926149150723,0.0014975928960972032,7,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.1,5,1.0,0.9224569577798821,0.0020281086312473177,8,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.1,5,0.8,0.9416565412527584,0.0016366356354985173,3,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.1,5,1.0,0.9412017609815679,0.001941052656057677,4,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.1,7,0.8,0.9378953563205391,0.0021243441094576346,5,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
100,0.1,7,1.0,0.9359277408875304,0.0016901273610241984,6,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
200,0.1,7,0.8,0.9493374349126492,0.0024827860935728845,1,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,True
200,0.1,7,1.0,0.9471570368649681,0.001697251580294913,2,0.9773923661454622,0.9687855067002392,0.9714860740850956,0.9687855067002392,False
